"CellCode";"EofOrigin.x";"NofOrigin.x";"final_capacity"
"10kmE284N243";NA;NA;NA
"10kmE284N244";NA;NA;NA
"10kmE284N245";NA;NA;NA
"10kmE284N479";NA;NA;NA
"10kmE284N480";NA;NA;NA
"10kmE284N481";NA;NA;NA
"10kmE284N482";NA;NA;NA
"10kmE284N483";2840000;4830000;0.999991420871232
"10kmE284N484";2840000;4840000;0.999999443396778
"10kmE284N485";NA;NA;NA
"10kmE284N486";NA;NA;NA
"10kmE284N492";NA;NA;NA
"10kmE284N501";NA;NA;NA
"10kmE284N502";NA;NA;NA
"10kmE284N503";NA;NA;NA
"10kmE284N504";NA;NA;NA
"10kmE284N505";NA;NA;NA
"10kmE284N509";NA;NA;NA
"10kmE284N510";NA;NA;NA
"10kmE284N512";NA;NA;NA
"10kmE284N513";NA;NA;NA
"10kmE284N514";NA;NA;NA
"10kmE284N515";2840000;5150000;NA
"10kmE284N516";2840000;5160000;NA
"10kmE284N517";NA;NA;NA
"10kmE285N159";NA;NA;NA
"10kmE285N160";NA;NA;NA
"10kmE285N161";NA;NA;NA
"10kmE285N162";NA;NA;NA
"10kmE285N163";NA;NA;NA
"10kmE285N164";NA;NA;NA
"10kmE285N165";NA;NA;NA
"10kmE285N166";NA;NA;NA
"10kmE285N167";NA;NA;NA
"10kmE285N168";NA;NA;NA
"10kmE285N169";NA;NA;NA
"10kmE285N170";NA;NA;NA
"10kmE285N243";NA;NA;NA
"10kmE285N244";NA;NA;NA
"10kmE285N245";NA;NA;NA
"10kmE285N246";NA;NA;NA
"10kmE285N479";NA;NA;NA
"10kmE285N480";NA;NA;NA
"10kmE285N481";NA;NA;NA
"10kmE285N482";NA;NA;NA
"10kmE285N483";NA;NA;NA
"10kmE285N484";2850000;4840000;0.999999933515561
"10kmE285N485";NA;NA;NA
"10kmE285N509";NA;NA;NA
"10kmE285N510";NA;NA;NA
"10kmE285N514";NA;NA;NA
"10kmE285N515";NA;NA;NA
"10kmE285N516";2850000;5160000;0.999996989701699
"10kmE286N159";NA;NA;NA
"10kmE286N160";NA;NA;NA
"10kmE286N161";NA;NA;NA
"10kmE286N162";NA;NA;NA
"10kmE286N163";NA;NA;NA
"10kmE286N164";NA;NA;NA
"10kmE286N165";NA;NA;NA
"10kmE286N166";NA;NA;NA
"10kmE286N168";2860000;1680000;0.999978542262726
"10kmE286N244";NA;NA;NA
"10kmE286N245";NA;NA;NA
"10kmE286N246";NA;NA;NA
"10kmE286N480";NA;NA;NA
"10kmE286N481";NA;NA;NA
"10kmE286N482";NA;NA;NA
